date,components temperature(℃),temperature(℃),air pressure(hPa),humidity(%),total radiation(W/m2),direct radiation(W/m2),diffuse radiation(W/m2),load(mw)
2019-01-01 00:00:00,-17.7,-13.154,926.071,53.497,0,0,0,0
2019-01-01 00:15:00,-18.115,-13.864,926.07,55.999,0,0,0,0
2019-01-01 00:30:00,-18.73,-14.461,926.07,57.747,0,0,0,0
2019-01-01 00:45:00,-18.0775,-13.066,926.071,54.162,0,0,0,0
2019-01-01 01:00:00,-17.2825,-12.823,926.07,52.807,0,0,0,0
2019-01-01 01:15:00,-18.0025,-12.793,926.07,51.031,0,0,0,0
2019-01-01 01:30:00,-18.7025,-13.671,926.071,53.597,0,0,0,0
2019-01-01 01:45:00,-18.1775,-13.905,926.071,54.602,0,0,0,0
2019-01-01 02:00:00,-18.235,-13.27,926.071,53.981,0,0,0,0
2019-01-01 02:15:00,-18.265,-13.598,926.071,54.478,0,0,0,0
2019-01-01 02:30:00,-19.29,-14.37,926.071,56.508,0,0,0,0
2019-01-01 02:45:00,-20.4075,-13.774,926.071,57.363,0,0,0,0
2019-01-01 03:00:00,-21.0675,-14.292,926.072,57.373,0,0,0,0
2019-01-01 03:15:00,-21.0025,-14.524,926.073,58.897,0,0,0,0
2019-01-01 03:30:00,-21.3,-14.946,926.071,59.676,0,0,0,0
2019-01-01 03:45:00,-21.9275,-14.211,926.071,60.952,0,0,0,0
2019-01-01 04:00:00,-22.2675,-14.502,926.071,58.382,0,0,0,0
2019-01-01 04:15:00,-22.6625,-14.478,926.07,58.705,0,0,0,0
2019-01-01 04:30:00,-23.65,-15.174,926.072,60.422,0,0,0,0
2019-01-01 04:45:00,-23.4125,-15.253,926.071,63.033,0,0,0,0
2019-01-01 05:00:00,-23.6275,-15.212,926.073,62.815,0,0,0,0
2019-01-01 05:15:00,-23.09,-15.038,926.071,61.802,0,0,0,0
2019-01-01 05:30:00,-23.335,-15.65,926.07,63.564,0,0,0,0
2019-01-01 05:45:00,-24.145,-13.905,926.071,58.667,0,0,0,0
2019-01-01 06:00:00,-24.6,-15.47,926.071,60.795,0,0,0,0
2019-01-01 06:15:00,-23.86,-16.973,926.07,63.051,0,0,0,0
2019-01-01 06:30:00,-24.09,-17.04,926.07,67.285,0,0,0,0
2019-01-01 06:45:00,-24.575,-15.422,926.07,63.179,0,0,0,0
2019-01-01 07:00:00,-24.545,-15.374,926.07,58.927,0,0,0,0
2019-01-01 07:15:00,-24.58,-16.532,926.07,65.79,0,0,0,0
2019-01-01 07:30:00,-25.05,-16.221,926.069,66.022,0,0,0,0
2019-01-01 07:45:00,-25.1825,-16.199,926.068,64.893,0,0,0,0
2019-01-01 08:00:00,-25.525,-14.728,926.068,64.278,0,0,0,0
2019-01-01 08:15:00,-25.3425,-15.478,926.07,61.896,0,0,0,0
2019-01-01 08:30:00,-25.2,-16.141,926.07,64.878,0,0,0,0
2019-01-01 08:45:00,-25.675,-16.305,926.069,65.499,0,0,0,0
2019-01-01 09:00:00,-25.3875,-15.963,926.068,65.1,0,0,0,0
2019-01-01 09:15:00,-25.5,-15.331,926.07,62.77,0,0,0,0.080267
2019-01-01 09:30:00,-24.73,-15.44,926.063,62.197,7.3,6.57,9.46667,0.940067
2019-01-01 09:45:00,-23.5875,-15.064,926.066,60.738,39.375,35.4375,19.7067,2.989333
2019-01-01 10:00:00,-19.5775,-14.108,926.063,57.275,97.1,87.39,44.6933,5.218733
2019-01-01 10:15:00,-15.115,-14.491,926.057,57.702,142.375,128.137,64.8533,7.6602
2019-01-01 10:30:00,-9.0225,-14.232,926.057,57.983,154.875,139.387,75.1333,9.503667
2019-01-01 10:45:00,-6.3725,-13.252,926.055,56.099,178.225,160.402,86.0533,16.1012
